raspicluster,721A872D498AC4DEFB8C10F42E28220B132035F6,M,193.24.209.148,443,0.631206,165310,51.000000/9.000000,2015-07-10T00:00:00.000Z
Unnamed,4EFB1CE1CA32640781E30587074D43D0911C84B4,M,54.67.18.49,443,0.122289,283223,37.339401/-121.894997,2015-07-10T00:00:00.000Z
IchGebDirNeuland,D755661C6655192F5DCFA48F34B00436B9258FD3,MG,81.7.10.29,8443,8.103862,194590,51.000000/9.000000,2015-07-10T00:00:00.000Z
yetanothertornode,50E7FF018153DD46418304E4B0BEB78A9A4BB435,M,178.69.39.115,9001,0.722229,184,55.750000/37.616600,2015-07-10T00:00:00.000Z
KagamineLen2xLariat,1702F6888757D679AFBEC9842F4B98E9B02B6D40,MGH,195.154.107.23,443,6.711074,1703121,48.860001/2.350000,2015-07-10T00:00:00.000Z
fritz,1BEA405192ABDFAC52D804A54C642D860668579B,MGH,5.9.54.44,9001,2.4336480000000003,1441979,51.000000/9.000000,2015-07-10T00:00:00.000Z
kurama,15138529CE92387A2CB3FE4F4ADCDC890E3D7CD9,M,128.199.94.4,9001,0.766976,0,1.293100/103.855797,2015-07-10T00:00:00.000Z
egg1,C1C4B741C2ADB902083E8AAF6447AF2DD242D0CD,M,69.141.43.197,9001,0.465282,129808,40.736401/-74.072403,2015-07-10T00:00:00.000Z
iloveavagadro,571157DEB0967FD35DF563DB199C32EC891B9A35,MGH,37.187.176.196,443,12.479948,793855,48.860001/2.350000,2015-07-10T00:00:00.000Z
YouOhKay,E6C532D7C7614F19EF809F50AA735054BAB47979,M,46.17.63.214,443,2.125273,64844,51.500000/-0.130000,2015-07-10T00:00:00.000Z
GreenElf,320E96F336E17312A329AF360B4D13DC221757EA,MH,74.207.231.250,443,1.44052,4969975,39.489899/-74.477303,2015-07-10T00:00:00.000Z
liongrass,09C5A1868E77812D20FB6A16836FD825A191E9F6,M,82.118.242.30,9001,1.656775,1120514,42.700001/23.333300,2015-07-10T00:00:00.000Z
GulesRelay,04CDF2225D864A26A5BE7DC350D7E672756EB064,M,73.169.69.237,9001,0.723905,335937,38.852100/-104.777702,2015-07-10T00:00:00.000Z
Unnamed,19085B9877894F789FAA390367ADEE5E2CFD170C,M,77.193.201.67,9001,0.056555,10832,48.919399/2.274800,2015-07-10T00:00:00.000Z
ididnteditheconfig,66012CB95BFB50368E1779E1EBD189A96DDE7FE3,M,78.52.220.240,9001,0.15163200000000002,12,51.000000/9.000000,2015-07-10T00:00:00.000Z
GoElephantGoGoGo,81D8BDAEB86E16AAEC2EB4A395A791E43A73C351,M,82.209.187.254,9001,0.408271,194529,59.329399/18.068600,2015-07-10T00:00:00.000Z
wmhwn,B88C5D66CFE514C4955ADA9D2E4F0E25F4B59931,M,95.119.232.44,9001,0.060667,64965,51.000000/9.000000,2015-07-10T00:00:00.000Z
plhost2,FB10883445FC55C9F0DE3EFEDC98BC0296C47B6A,MH,50.46.240.233,9001,1.4602080000000002,324215,47.843498/-122.195702,2015-07-10T00:00:00.000Z
cityConnect,18046895412A1185A1F3715D5FD2987CDC8C4B91,M,87.64.86.181,9001,0.298131,213379,51.216702/4.416700,2015-07-10T00:00:00.000Z
pokeItWithAStick,7D8597A9AC185D55C8C3F60196355518DDD7869D,MEH,106.185.29.93,443,1.3025360000000001,9357766,35.689999/139.690002,2015-07-10T00:00:00.000Z
polettimarco2,8575B02E4C3146704DF133AAB36192AAA6C4025E,MH,192.73.236.18,9001,0.342704,10253572,33.751598/-84.391502,2015-07-10T00:00:00.000Z
whiteroom,259D44BDF3734077902CD71606BAD95F994A606B,MH,5.39.78.101,9001,2.521381,831796,48.860001/2.350000,2015-07-10T00:00:00.000Z
Unnamed,2DE827E0A349AEBE42E233F3B5ABE821321BFC8D,M,62.149.2.188,9001,0.123014,2168069,50.450001/30.523300,2015-07-10T00:00:00.000Z
gorge,421312D3A368A5F19858B9A266A1174D0F2AA3F2,ME,198.48.129.198,9001,0.128458,2386808,43.642502/-79.387199,2015-07-10T00:00:00.000Z
startor1se,691C3ABB066147354E183179AFA5C04C577E8E49,MEH,95.215.44.171,443,0.532441,1982202,59.329399/18.068600,2015-07-10T00:00:00.000Z
docker99a1162375,8EA857B41431712234ECF095874781FCE5E84934,M,93.161.98.83,9001,0.07106,217833,56.066700/12.283300,2015-07-10T00:00:00.000Z
torpidsCAovh,CEDD9C7C371E753CDD14D292BCE1C7B8F4734D25,MGH,198.50.146.40,443,5.957008,619409,45.507801/-73.580399,2015-07-10T00:00:00.000Z
baeta,E2237D40BC4BA9C5CB2CFEC364C2C57BB7D01E19,M,109.74.194.124,9001,1.177802,251098,51.500000/-0.130000,2015-07-10T00:00:00.000Z
Exocet01,1E21F1A632D5C96C23A8264E15E45C1EB708B64C,M,93.26.82.216,9001,0.058976,45811,48.860001/2.350000,2015-07-10T00:00:00.000Z
CDRelay,A55EADA1CF5A59EE8E40D087CB889C21E99C9E04,M,149.154.158.228,9001,1.570404,1326140,41.849998/-87.650002,2015-07-10T00:00:00.000Z
